Kharif 2016-Yeild,2016-Kharif-Rain
3682,627.3
5143,790
5018,850.7
6278,801.6
5791,796.5
6095,668.8
4989,653.9
5851,341.6
4463,160.4
3374,384.1
4556,466.8
5330,257.4
4959,342.2
5166,533.8
